,question,classification
2877,Apaakah akibat dari tingginya pembunuhan di Jawa Timur ?,C
2878,Apa yang menjadi fokus DPD?,C
2879,Bagaimanakah pandangan gereja Katolik mengenai sepuluh perintah Allah ?,C
2880,"Menurut pro-FDR, mengapa Sutarto dibunuh secara misterius?",B
2881,Apakah sanksi yang diterima pemain bila menyebabkan cedera parah pada lawan ?,B
2882,Apa akibat dari perlakukan khusus yang diberikan kepada ras melayu?,C
2883,Siapa yang diurus oleh pejabat majapahit?,B
2884,Siapa yang menyatakan PKI sebagai organisasi terlarang?,A
2885,Apa yang membuktikan bahwa ilmu dan pengetahuan manusia tidak akan sanggup menandingi Al-Qur'an?,C
2886,Apa nama keris yang sempat hilang dan ditemukan oleh Belanda?,B
2887,Apakah arti dari pola mandala besar ?,C
2888,Apakah arti kebudayaan menurut Selo Soemardjan ?,C
2889,Bagaimana Umar dipandang oleh oleh Sunni?,C
2890,Siapakah panglima besar angkatan perang mobil ?,B
2891,Negara apakah yang menerima penghargaan Nobel terbanyak di bidang Kedokteran?,A
2892,Apa peristiwa yang menjadi penanda jatuhnya superioritas Jerman?,B
2893,berapa nilai transaksi pembelian youtube?,B
2894,Apa yang terdapat di Semenanjung malaysia?,C
2895,Pada abad keberapa tentara Mamluk mulai digunakan oleh Kekhalifahan Abbasiyah?,B
2896,Dimana Qian Kun lahir?,B
2897,Prinsip apakah yang diatur dalam 10 perintah Allah ?,A
2898,Apa saja sektor sumber daya alam yang dimiliki oleh Malaysia?,C
2899,Bagaimana cara Kertanegara mempermalukan utusan Kubilai Khan?,C
2900,Berapa banyak surat kabar yang dilarang oleh Presiden Soeharto?,B
2901,Apakah nama badan legislatif Israel ?,A
2902,Siapakah pemilik Bandara Changi ?,B
2903,dimana Soeharto tinggal ketika ia suka cocok tanam?,C
2904,Apakah penyebab perang Lebanon pertama ?,C
2905,Mengapa presiden Nixon mengundurkan diri dari jabatannya sebagai presiden AS?,B
2906,Jelaskan apa itu nasi kucing di Jogja?,C
2907,Berapakah produksi padi Indonesia pada tahun 1992?,B
2908,Darimanakah agama Hindhu Buddha berasal ?,A
2909,Negara mana saja yang menjadi anggota tetap Dewan Keamanan PBB?,A
2910,Kapankah Bung Karno dan Bung Hatta diculik ke Rengasdengklok ?,B
2911,dimana NCT U pertama kali perform?,A
2912,Kapan Lee Je-no diperkenalkan sebagai anggota SM Rookies?,B
2913,Berapakah jumlah kunjungan ke Singapura pada tahun 2007 ?,B
2914,Berapa persentase populasi yang menetap di kawasan perkotaan pada tahun 2017?,B
2915,Apa saja kaum yang diinginkan Soekarno dapat bersatu?,C
2916,Dimanakah salah satu jalur pelayaran terpenting di dunia?,B
2917,Penyalahgunaan kekuasaan apa yang dilakukan oleh Soeharto?,B
2918,Kapankah perkiraan candi Borobudur dibangun ?,C
2919,Siapa yang dicoba selamatkan oleh Jatayu dari cengkeraman Rahwana?,B
2920,Kapan Amerika mulai meninggalkan posisi netralnya dalam Perang Dunia 2?,A
2921,Apakah yang dimaksud dengan perubahan sosial budaya ?,C
2922,Apa fokus dari UKP3R?,A
2923,Siapakah Gubernur Singapura pada tahun 1823 ?,B
2924,Berapa lebar garis di lapangan bola?,C
2925,Mengapa Indonesia adanya peringatan perjalanan wisatawan asing ke Indonesia tidak terlalu berdampak pada ekonomi Indonesia?,C
2926,Kapan Republik Turki dideklarasikan?,A
2927,Mengapa rakyat Indonesia mengalami kebingungan pada pilpres 2019?,C
2928,Apa tuduhan terbesar pemerintah terhadap Musso?,C
2929,Daerah mana saja yang menjadi target utama operasi Barbarossa?,B
2930,Siapakah yang mengusung Theodore Roosevelt?,B
2931,Mengapa Hatta terus menolak perjanjian konsuler?,C
2932,Bagaimana wilayah kekuasaan Bani Umayyah mulai dari awal berdiri sampai masa runtuhnya?,B
2933,Apa penyebab menurunnya populasi suku Indian sebagai pribumi Amerika?,C
2934,Kapan Soeharto menikah dengan Siti Hartinah?,B
2935,Apa yang memicu perpecahan internal Angkatan Darat pada masa Soekarno?,C
2936,Kapankah permainan sepak bola mulai digemari di Italia ?,C
2937,Apa hal yang mempengaruhi iklim jepang?,C
2938,Apa yang menjadi alasan pertama program benteng 1 mengalami kegagalan?,C
2939,Apa kelebihan dari pelabuhan di Jawa dibandingkan pelabuhan lain di Asia Tenggara?,C
2940,Berapa banyak pulau yang ada di Indonesia?,B
2941,Siapa nama orang tua dari Dyah Wijayakarana?,B
2942,Kota apa yang ditaklukkan oleh Orhan?,B
2943,Mengapa beberapa delegasi PKI mengunjungi Cina ?,B
2944,Golongan apakah yang termasuk dalam angkatan bersenjata kelima yang diusulkan oleh PKI?,B
2945,Apa keinginan awal B.J Habibie saat menjabat Meristek?,A
2946,Apa tujuan Jerman dan pasukan Poros melancarkan serangan musim panas terhadap Rusia Selatan?,B
2947,Berapa banyak perkiraan masyarakat yang masih berada dibawah garis kemiskinan pada tahun 2006?,B
2948,Apakah yang dilakukan PMO pada 1972 ?,C
2949,Mengapa Amerika terlihat lebih kaya dari negara lain pasca perang?,C
2950,Negara bagian apa saja yang bergabung dengan AS tanpa melalui perang atau pembelian?,B
2951,Pada dokumen apa sebutan Giapan dapat ditemukan?,C
2952,berapa banyak audience share yang diperoleh dari film Ikatan Cinta?,C
2953,Dimanakah gagasan budaya mulai berkembang menurut kebudayaan orang ?,B
2954,Mengapa Jokowi mendapat kritik dari berbagai elemen masyarakat?,C
2955,Apakah sifat nasionalisme Indonesia menurut Soewardi ?,C
2956,Mengapa Israel menangkap dan mengadili Adolf Eichmann ?,C
2957,Sistem penanggalan apakah yang berlaku pada masa penjajahan Jepang?,C
2958,Siapakah yang menggantikan Ariel Sharon ?,B
2959,Berapakah jumlah prajurit ABRI ?,C
2960,Apa nama Lakon bayangan tradisional?,B
2961,Berapa banyak anggota militer AS yang tersebar di negara asing?,B
2962,Kejadian apa yang membutuhkan peranan Soekarno sebagai seorang presiden?,C
2963,Kapankah Hatta membacakan Indonesia Merdeka ?,A
2964,Bahasa Arab biasa dipakai untuk apa?,B
2965,Kapan Carolina dimekarkan?,C
2966,Siapakah pemipin dari para kepala staf ?,C
2967,Dimana Pangeran Diponegoro tinggal?,B
2968,Kapankah Belanda mengakui secara resmi kemerdekaan Indonesia ?,B
2969,Apa saja daerah yang masuk ke dalam kekuasaan majapahit?,C
2970,Apa nama album NCT pada promosi yang ketiga?,B
2971,Bagaimana cara membalas salam sampurasun?,C
2972,Disebut apakah awal babak baru dalam sejarah Islam setelah Baghdad hancur akibat serangan tentara Mongol?,B
2973,Berapa lama masa jabatan ketua KTT?,B
2974,Kapan kerajaan Majapahit berdiri?,A
2975,Siapa pemimpin pasukan imperialis jerman di afrika timur?,B
2976,Disebut apa tafsir yang lebih banyak bertumpu pada pendapat dan pikiran?,B
2977,Apa nama Konfederasi Amerika yang secara resmi dinyatakan?,B
2978,Apa yang menjadi rencana pemerintah malaysia?,C
2979,Berapa lamakah perundingan konferensi meja bundar berlangsung ?,B
2980,Siapakah pencipta buku clash of civilization ?,C
2981,Apa warisan budaya Indonesia di bidang busana yang telah dikenal seluruh dunia?,A
2982,Pada tanggal berapa Keris Kiai Nogo Siluman dikembalikan ke pemerintah RI?,B
2983,Siapakah perdana menteri yang menggantikan Sjafruddin ?,C
2984,Apa yang dikembangkan badan keuangan dan bendahara Utsmaniyah?,C
2985,Apakah yang menjadi fokus program pemerintah ?,A
2986,Bagaimana cara memenuhi kekurangan tenaga kerja?,C
2987,Siapakah Martin van Bruinessen?,C
2988,Berapa banyak warga AS yang beragama Kristen pada tahun 1990?,B
2989,Warga negara mana saja yang ditahan berdasarkan Perintah Eksekutif 9066?,C
2990,Siapa yang berkuasa di Palestina pada abad ke-20?,C
2991,Kenapa nama Jakarta Great Sale berubah?,C
2992,Apakah fungsi dari gol penalti ?,C
2993,"Menurut Djoko Sujono, apa alasan FDR melakukan peristiwa di madiun?",B
2994,Apa salah satu yang menyebabkan pendapatan negara menurun?,C
2995,Kapan rata-rata pendapatan riil warga AS meningkat drastis?,B
2996,Kapankah pengesahan UUD 1945 dikukuhkan ?,C
2997,Disebut apakah index 225 saham perusahaan besar di bursa saham Tokyo ?,A
2998,Apa yang mengawali Perang Jawa?,C
2999,Partai apa yang memeberikan masukan untuk lambang negara perlu dipertimbangkan kembali?,B
3000,Pada tahun berapa Abu Muslim al-Khurasani dihukum mati?,C
3001,Berapakah sekolah yang didirikan Budi Utomo pada masa kepemimpinanan Dirodjo ?,C
3002,"Di Amerika, sektor apakah yang paling banyak menyerap tenaga kerja?",A
3003,Siapakah yang menghentikan Soedirman dan pasukannya di Trenggalek ?,B
3004,Apakah yang didapat Hatta setelah menjadi warga utama Ibukota Jakarta ?,C
3005,Kapankah pasukan Amerika Serikat keluar dari afganistan ?,B
3006,Kapankah agama Buddha Mahayana masuk ke Jepang ?,A
3007,Dari mana beberapa tarian-tarian malaysia berasal?,C
3008,Kapankah Hatta ditanggkap oleh Belanda ?,A
3009,Apa isi dari habeas corpus di inggris?,C
3010,Dimanakah Kongres Koperasi I berlangsung ?,C
3011,Apa masalah kedua dari kebijakan yang dibuat?,C
3012,Kapan terjadinya kerusuhan hebat di Jakarta?,A
3013,BErapa banyakkah anggota pembentuk ISDV ?,C
3014,Apa yang dilakukan Soviet setelah berhasil melaju hingga Yugoslavia?,C
3015,Berapa konsensi area tambang batu bara kah yang dimiliki Toba Bara ?,C
3016,Kapan situs XNXX diluncurkan?,C
3017,Siapakah astronom Islam pertama yang pertama kali menyusun astrolobe?,B
3018,Kapan UUD 1945 diterapkan oleh PPKI?,A
3019,Siapakah yang mengangkat Kepala staf APRIS ?,B
3020,Kapan Cultuurstelsel berakhir?,C
3021,Apa nama lagu solo pertama Lee Tae-yong?,B
3022,Mengapa Arya Damar tidak mengumumkan keislamannya di depan umum?,C
3023,Apa fungsi awal dari KNIP?,B
3024,Apa yang akan dilakukan Soekarno di malam itu pada 7 Januari 1962?,C
3025,Kapankah hari ABRI diperingati ?,B
3026,Kapankah Vietnam menjadi anggota ASEAN ?,C
3027,Apa yang ingin dilakukan Jerman dengan kampanye superioritas udaranya atas Britania?,B
3028,Ada berapa banyak ayat dalam Surah Al-Ma un?,B
3029,Apa tanda bahwa ada hubungan dengan khilafah?,C
3030,Apa tujuan diciptakannya malaikat oleh Allah?,C
3031,Siapakah ketua majelis umum PBB pada masa sidang 1974?,C
3032,Siapa nama penerus dari Sultan Abu Bakar?,B
3033,Apa yang diperoleh Amerika dari Perang Vietnam?,C
3034,Bagimana sikap peserta sidang terhadap ide Syarif Hidayatullah?,C
3035,Siapa Kiai Madja?,C
3036,Apakah tradisi Buddha yang paling banyak dianut oleh penduduk Singapura ?,A
3037,Apa warna dari bendera Indonesia?,C
3038,Apakah yang diajarkan Sodirman pada anggota muda Hizboel Wathan ?,C
3039,Mengapa kabinet burhanudin harahap selesai pada tahun 1956?,B
3040,Apa efek dari bebasnya rakyat dalam menyatakan pendirian?,C
3041,Apa ide yang dicetuskan oleh Soekarno?,A
3042,Hal baik apa yang mengikuti dengan mundurnya presiden Soeharto?,C
3043,Pada tahun berapakah sekelompok purnawirawan dan tokoh-tokoh sipil muncul?,C
3044,Apa saja layanan dan produk yang dimiliki oleh TM?,C
3045,Kapan Sidang Istimewa MPRS dilaksanakan?,B
3046,Mengapa Pangeran Diponegoro dengan mudah berganti markas?,C
3047,Bagaimana Britania menaikkan moral publik di Atlantik?,B
3048,Siapakah Andrew Gilchrist itu?,C
3049,dimana Sultan mengunci armada lautnya?,B
3050,Apa bunyi Pasal 9 ayat 2 konstitusi Jepang ?,C
3051,Kapan yayasan AL Utsmaniyah berdiri?,B
3052,Apakah tujuan dari setiap tim pada olahraga bola basket ?,B
3053,Apa yang membuat Bob Dylan muncul ke permukaan pada tahun 1960-an?,B
3054,Apa imbas dari penggunaan gas beracun dalam perperangan?,C
3055,Kapan Soeharto diangkat sebagai Panglima Komando?,B
3056,Kapankah candi Borobudur di bangun ?,A
3057,Apakah nama resmi dari pulau utama di Singapura ?,B
3058,Apa yang menyebabkan pendapatan gaji menurun di AS?,B
3059,Apa makna sengkala yang ada pada jaman majapahit?,C
3060,Siapakah nama lain Ki Hajar Dewantara?,B
3061,Siapakah Jenderal KNIL yang menyerah pada Jepang ?,B
3062,"Kapan youtube bekerja sama dengan MGM, LGE, dan CBS?",B
3063,Apa makna harfiah dari Mitreka Satata?,C
3064,Kekejaman Firaun memaksa Banis Israel pergi kemana?,C
3065,Mengapa terjadi diskriminasi di sekolah?,C
3066,Berapakah proyeksi jumlah penduduk Jepang ditahun 2050 ?,C
3067,Kapan pernikahan sesama jenis mulai dilegalkan di Amerika?,B
3068,Apa yang terletak di Laut Okhotsk?,B
3069,Apakah yang dihilangkan dari piagam Jakarta ?,C
3070,Berapa banyak gunung api yang ada di Indonesia?,A
3071,Ada berapa negara di dunia yang tidak menggunakan Satuan Internasional menurut CIA World Factbook?,C
3072,Pihak manakah yang melancarkan agresi militer?,B
3073,Kapan orang-orang Nusantara mencapai prestasi penjelajahan?,B
3074,Siapa yang mengepalai UKP4R?,B
3075,Apa media yang membuat kartini tertarik dengan pemikiran perempuan eropa?,C
3076,Bagaimana cara parameswara menghindari penganiayaan?,C
3077,Kapan The First rilis?,B
3078,Berapa banyak perusahaan Jepang di Forbes Global 2000 pada tahun 2006 ?,B
3079,Siapa nama Panglima TNI tertua sepanjang sejarah?,B
3080,Siapakah yang mengetik naskah proklamasi?,B
3081,Pada tahun berapa Britania mengirim pasukan ke Mesir?,A
3082,Apa nama Pura di Jakarta Timur?,B
3083,Apakah bentuk negara Singapura ?,C
3084,Berapa tinggi jaring lapangan bulu tangkis?,A
3085,Sejak kapan volozh dan segalovich bersahabat?,B
3086,Apa tujuan pasukan Kuomintang dan komunis di Tiongkok bersatu?,B
3087,Apa yang membuat Nabi Muhammad SAW dikenal oleh suku-suku Arab?,C
3088,Apa target B.J. Habibie?,C
3089,Siapa yang membuka cabang kampus di malaysia sejak tahun 1998?,B
3090,Di mana daerah yang memiliki banyak komunitas muslim china dan arab?,B
3091,Siapa yang mengunjungi Nusantara pada tahun 1512?,C
3092,Kapan perang salib terjadi?,B
3093,Kapan WayV debut?,B
3094,Apa sajakah negara mayoritas Buddha di asia tenggara ?,B
3095,Apa yang digunakan Italia untuk menaklukkan Abisinia?,B
3096,Apakah yang dilakukan Hatta di Digul selain bercocok tanam ?,B
3097,Apakah langkah pertama yang diajukan komisi untuk rencana pelestarian Borobudur ?,C
3098,Apa efek dari pemberlakukan sistem matrikulasi bagi siswa yang telah menamatkan program koleh matrikulasi?,C
3099,Siapakah yang selanjutnya menggantikan Abu al-Abbas?,B
3100,Kapankah PKI mulai beran muncul di panggung politik ?,B
3101,Apa program studi yang diambil oleh Soekarno di ITB?,C
3102,Dimanakah permainan bola basket diciptakan ?,C
3103,Kapankah UUD 1945 kembali berlaku di Indonesia ?,B
3104,Kapan kegiatan pembangunuan Pelita 6 dimulai?,C
3105,Kapan wujud malaikat dapat ditangkap oleh panca indra manusia?,C
3106,Bahasa apakah yang digunakan dalam dokumen resmi pemerintah di California?,B
3107,Kapan kerajaan Brunei berdiri?,C
3108,Apa nama gerakan fanatisme kebangsaan yang muncul pada periode pertama dinasti Abbasiyah?,A
3109,Mengapa Tome Pires memuji kuda-kuda Jawa?,C
3110,Siapa yang terinsprasi oleh Majaphit dan Sriwijaya sebagai contoh masa jaya Indonesia?,C
3111,Apa tujuan dari diadakannya pembangunan sekolah?,A
3112,Siapakah yang mengklaim dirinya sebagai Khalifah pada tahun 909?,B
3113,Kemanakah Hatta dan Syahrir dipindahkan pada Februari 1942 ?,C
3114,Pada tahun berapa Darurat Malaya terjadi?,A
3115,Apakah konsekuensi dari sifat nasionalisme menurut Soewardi ?,C
3116,Mengapa jokowi mempertimbangkan untuk membebaskan abu bakar baasyir?,A
3117,Apakah salah satu penyebab berkembangnya pariwisata di Yogyakarta ?,C
3118,Sebutkan beberapa contoh suku yang ada di Indonesia,C
3119,Apa nama insiden yang menjadi pijakan Jepang untuk menjajah seluruh wilayah Tiongkok?,B
3120,Berapa banyakah bayi yang lahir di Singapura pada tahun 2005 ?,B
3121,Berapakah inflasi Indonesia pada tahun keempat pelita II ?,B
3122,Mengapa daerah indragiri diberikan kepada Mansur Syah?,C
3123,Apakah yang dimaksude dengan Impian Amerika Serikat ?,C
3124,Apa sebutan bagi penghafal Al-Qur'an?,C
3125,Apa definisi rawan macet?,B
3126,Pada tahun berapa Pengalasan meninggal?,B
3127,"Kapan ""We Are Superhuman"" di rilis?",B
3128,Kota apa yang direbut oleh Murad IV dari safawiyah?,C
3129,Apa inisiatif yang diprakarsai oleh Sunan Drajat?,B
3130,Siapa pemimpin PKI?,B
3131,Siapa saja anggota Poros Eropa?,A
3132,Apakah tafsiran perintah merayakan hari Sabat pada kitab Ulangan ?,C
3133,Berapa orang yang diamankan setelah granat meledak di Perguruan Cikini?,A
3134,Berapakah panjang lapangan sepak bola dewasa menurut standar internasional ?,B
3135,"Apa inti dari Pakta Tiga pihak antara Jepang, Italia, dan Jerman?",C
3136,Bagaimana cara Oda Nobunaga mengalahkan musuhnya?,C
3137,Mengapa pemugaran hanya berpusat pada membersihkan patung dan batu ?,C
3138,Dimanakah Presiden Soekarno menyarankan untuk kembali pada UUD 45 ?,B
3139,Apa saja program studi yang terdapat di Institut Teknologi Del ?,C
3140,Apa yang memengaruhi pola pikir Jokowi ketika menjadi Wali Kota solo dalam menertibkan perumahan warga?,C
3141,Bagaimana Maukar mengetahui bahwa tidak ada Preisden di istana? ,C
3142,Di mana Jokowi kuliah?,A
3143,Pengukuran psikologi apa yang diterapkan pada sila pertama Pancasila?,B
3144,Pada tanggal berapakah Soekarno membacakan pleidoinya?,B
3145,Siapa pengarang dari tulisan The First World War?,B
3146,Mengapa aliran Iredentisme dan revanchisme memiliki pengaruh kuat di Jerman?,C
3147,Bagaimana ayat-ayat Al-Qur'an diturunkan kepada Nabi Muhammad?,C
3148,Siapa saja petinggi Uni-Soviet yang mengirim pesan kepada Soekarno?,B
3149,Siapa yang memberikan inisiatif untuk tim Soeharto menduduki Yogyakarta?,B
3150,Mengapa Indonesia harus mempertahankan netralitas positif?,C
3151,Siapakah nama paman Nabi Muhammad yang berasal dari Yatsrib dan memutuskan memeluk Islam?,B
3152,Apa sajakah transportasi yang ada di sistem jalan umum ?,B
3153,Apa peran yang dilakukan server proksi?,C
3154,Apakah tugas Staf Markas Besar angkatan perang mobil ?,B
3155,Kerajaan pertama di pulau Jawa adalah,B
3156,Siapa yang mendesak Soekarno untuk memproklamasikan kemerdekaan Indonesia?,C
3157,Apa kontribusi besar Habibie ketika masa kepemimpinan Presiden Jokowi?,C
3158,Siapa Ali Qushji?,B
3159,Apa yang dilakukan Belanda ketika gencatan senjata terjadi?,C
3160,Dimanakah biasanya bahasa asing selain bahasa Inggris diajarkan sebagai bahasa pelengkap?,B
3161,Apa yang harus dilakukan siswa sebelum melanjutkan pendidikan ke tahap sekunder?,B
3162,Apakah yang terdapat di dasar bukit dekat candi Borobudur menurut Nieuwenkamp ?,C
3163,posisi Ikatan Cinta turun ke peringkat berapa saat tanggal 22 desember 2021?,B
3164,Apa himbauan yang diberikan oleh direktur London School of Economics kepada pejabat Malaysia?,C
3165,Mengapa Soekarno mendapatkan penghargaan dari Presiden Afrika Selatan?,C
3166,Mengapa Amerika serikat mencari Osama Bin Laden ?,C
3167,Apa salah satu bidang yang memiliki pengaruh dari majapahit?,B
3168,Informasi apa yang didapat dari mata-mata yang dibentuk oleh residen Valck?,C
3169,Siapa yang mengakui keunggulan Jokowi dalam berkampanye di Youtube?,C
3170,Nabi apa yang datang ke Palestina?,A
3171,Apa imbas dari meningkatnya harapan hidup dan bertambahnya penduduk?,C
3172,Apa nama lain dari Perjanjian Inggris-Utsmaniyah?,B
3173,Bagaimana Belanda dan Belgia menghadapi taktik blitzkrieg Jerman?,B
3174,Siapa yang tidak termasuk warga negara athena?,C
3175,Di kalangan warga AS manakah keraguan tentang Tuhan berkembang pesat?,B
3176,Apa sumber bahasa Jawa Kuno yang menjadi rujukan sejarawan dalam mempelajari majapahit?,B
3177,Mengapa debu vulkanik dapat merusak batuan candi Borobudur ?,C
3178,Siapakah pemain yang bertugas menghalangi dan menutupi pergerakan lawan ?,B
3179,Mengapa Mohammad Hatta mundur dari jabatan ketua PI ?,C
3180,Mengapa dunia internasional tetap mengakui Soekarno-Hatta sebagai presiden Indonesia?,C
3181,Siapakah raja Thailand yang meminta bagian dari candi Borobudur ?,B
3182,Apakah posisi PKI pada kepemimpinan Aidit ?,B
3183,Dimanakah Tiongkok mempersiapkan pertahanan setelah membanjiri Sungai Kuning?,B
3184,Kapan Soeharto dilantik menjadi Panglima AD?,B
3185,Mengapa Perang Boshin terjadi?,C
3186,Siapakah yang mengukuhkan pengesahan UUD 1945 ?,C
3187,Mengapa pihak yang kontra menganggap pengangkatan B.J Habibie tidak konstitusional?,C
3188,Apa itu kesultanan malaka?,C
3189,Apa jabatan dari Gusti Pati?,B
3190,Kota apa yang mulai menjadi pusat kebudayaan dan ilmu pengetahuan pada masa Al-Ma mun?,A
3191,Apa judul film yang pertama kali ada di nusantara?,B
3192,Mengapa pemerintah orde baru menitikberatkan fokusnya pada pengembangan sektor pertanian ?,C
3193,Bagaimana cara Jokowi berkampanye?,C
3194,Mengapa Taliban memberontak terhadap pemerintah afganistan ?,C
3195,Apa nama peperangan di mana Austria menyerang Serbia?,B
3196,Gerakan apa yang muncul akibat fanatisme bangsa - bangsa lain?,B
3197,berapa banyak produksi beras pada tahun 1984?,A
3198,Pada Bulan apa Hatta dan Syahrir pindah dari Digul ke Banda Neira ?,B
3199,pendamping Pangeran disebut apa?,B
3200,Apakah nama museum di London yang menyimpan relik candi Borobudur ?,A
3201,Kapan FAO memberikan penghargaan kepada Presiden Soeharto?,B
3202,Apa itu Raja Malaysia?,A
3203,Dimanakah artefak candi Borobudur  yang dimiliki Thailand dipajang ?,A
3204,Kapan Jokowi mengumumkan wakil presidennya?,B
3205,Apakah saran pertama Mahan untuk permainan bola basket ?,B
3206,Siapa nama nama anggota WayV?,B
3207,Bagaimana proses pemberian nama sebuah surah?,C
3208,Apa yang dimaksud dengan zodiak?,C
3209,Siapa sajakah Jenderal yang membantu Presiden Soekarno dalam perumusan Supersemar ?,B
3210,Apa yang membuat pengaruh Britania di Malaya semakian luas?,A
3211,Siapa yang dulu memiliki banyak istri dan selir?,B
3212,Apakah yang dimaksud dengan asimilasi ?,B
3213,Siapakah nama orang tua dari Mohammad Hatta ?,A
3214,Mengapa wacana pembentukan konfederasi Maphilindo terjadi ?,C
3215,Bagaimana sekutu menggagalkan operasi Port Moresby Jepang?,C
3216,Berapa persenkah tingkat melek huruf masyarakat Jepang pada tahun 2002 di penduduk berusia lebih dari 15 tahun?,A
3217,Apa itu firewall?,C
3218,Siapa yang mengemukakan pertama kali kata Columbia?,A
3219,Apa saja sistem pemerintahan Indonesia yang pernah diterapkan pada masa Soekarno?,C
3220,Siapa yang menyempurnakan pembuatan struktur bata,C
3221,Apakah yang dilakukan Isreal pada orang orang yang bertanggung jawab terhadap peristiwa Munchen ?,C
3222,Bagaimana proses pemilihan presiden Amerika?,C
3223,Kerugian apa yang diterima oleh Soviet akibat operasi Barbarossa?,B
3224,Apa nama lain dari Sekolah Menengah Teknik?,B
3225,Kendaraan apa yang paling umum dimiliki warga AS?,B
3226,Siapa yang menguasai Amerika Selatan pada akhir 1970-an?,B
3227,Siapakah yang diutus ke Rengasdengklok untuk menjemput Soekarno-Hatta?,B
3228,Di mana Nippon terletak?,C
3229,Apakah penyebab kabut di Singapura ?,C
3230,Kapan unit pertama NCT dimumumkan?,C
3231,Siapakah musuh nomor 1 bagi Soekarno?,B
3232,Apa penyebab dari menyusutnya kekuatan kekhalifahan?,C
3233,Kapan Dreams Come True dirilis ke publik?,B
3234,Kapan AS bergabung dengan Sekutu?,B
3235,Siapa inisiator peristiwa Gerakan 30 September?,C
3236,Mengapa pemerintahan Jepang berpikir mereka harus berdamai dengan Soviet?,C
3237,Mengapa Kabinet Ali Sastroamidjojo berakhir?,B
3238,Siapakah Wakil Perdana Menteri I Indonesia pada tahun 1966 ?,C
3239,Dimanakah PON I digelar ?,C
3240,Mengapa Amir Sjarifoeddin menyatakan bahwa dasar dari FDR adalah negara Republik Indonesia?,C
3241,Apa tujuan PBB didirikan?,C
3242,Pada tahun berapa Listyo dipindah tugaskan?,B
3243,Berapa lamakah setiap pria di Singapura menjadi serdadu cadangan ?,B
3244,Apa tujuan dibuatnya sistem birokrasi?,B
3245,Kemanakah Hatta dan Syahrir pindah setelah dari Digul ?,C
3246,Apa nama jaringan televisi publik yang sudah ada sejak zaman dahulu?,B
3247,Bagaimana kondisi istana raja menurut Odorico da Pordenone?,B
3248,Apa bahan sepatu pemain bulu tangkis agar memiliki cengkeraman yang baik?,A
3249,Kapan monas selesai dibangun?,C
3250,Apa alasan Maukar melakukan aksi tersebut?,C
3251,Siapakah George W. Bush?,A
3252,Pada tahun berapa puncak peperangan terjadi?,B
3253,Siapa penyelenggara kompetisi badminton internasional?,B
3254,Bagaimana pandangan terhadap aliran Syi ah?,C
3255,Kapankah Periode Pelita I terjadi ?,C
3256,Apakah tanda seorang pemain merupakan kapten tim ?,C
3257,Bagaimanakah kedudukan MPRS menurut UUD 1945 ?,B
3258,Charles XII mendesak Ahmed III menyatakan perang pada siapa?,B
3259,Mengapa yandex mendirikan kantor di Lucerne?,B
3260,Siapakah yang menggunakan teknik hook saat melawan garuda bandung pada tahun 2009 ?,B
3261,Sampai kelas berapakah Mohammad Hatta belajar di sekolah rakyat ?,B
3262,Apa keberhasilan yang tercapai pada kabinet ali sastroamidjojo ii?,C
3263,di daerah apa saja yang banyak makanan khas luar negeri?,C
3264,Ilmu apa saja yang mulai dipelajari Nabi Muhammad ketika beranjak dewasa?,C
3265,Berapa lama Bani Abbasiyah berhasil memegang kekuasaan?,B
3266,Berapa banyakkah tim yang bermain pada permainan sepak bola ?,B
3267,Siapa nama 2 anggota yang bergabung NCT 127,C
3268,Kapankah Luhut menjabat sebagai menteri pedagangan dan Industri ?,B
3269,Apakah nama maskapai penerbangan nasional Singapura ?,A
3270,apa nama satuan ritme?,B
3271,Apa yang terjadi pada suku melayu abad ke-15?,C
3272,Mengapa pada awal masa pelarangan PKI berusaha tidak menonjol ?,C
3273,Ajaran apa yang digunakan untuk berlindung bagi para pendukung gerakan Zindiq?,C
3274,Apa keperluan yang dilakukan oleh Harun al-Rasyid dengan kekayaan negara pada saat itu?,C
3275,Apa saja hari raya yang dirayakan oleh muslim malaysia selain idul fitri?,C
3276,Mengapa UUDS diberi nama sementara?,C
3277,Perubahan konkrit apa yang terjadi pada Era Progresif di Amerika?,B
3278,Apa yang menandai berakhirnya Orde Baru di Indonesia?,A
3279,Mengapa khalifah tetap dipegang oleh bani Abbas?,C
3280,Kapan Ferdinand I secara resmi mengakui pemerintahan Utsmaniyah di Hongaria?,B
3281,Apa akibat perang di jepang pada industri dan infrastruktur?,C
3282,Apa saja hal yang bukan menjadi alasan utama pemulihan?,B
3283,Kapankah Luhut menjadi Duta Besar Republik Indonesia untuk Singapura ?,B
3284,Apakah nama gunung disebelah timur laut candi borobudur ?,C
3285,Apakah yang digunakan untuk merekatkan batu pada candi Borobudur ?,C
3286,teknik dasar dalam permainan bola voli adalah?,C
3287,Kapankah Undang undang nomor 3 Tahun 1948 dikeluarkan ?,B
3288,Di manakah jumpa pers tersebut diadakan?,C
3289,Kapan Soviet berhasil membebaskan Krimea?,B
3290,Siapakah yang memimpin pendudukan Jepang di Asia?,B
3291,Di mana putri Soekarno bersekolah?,B
3292,Berapa banyakkah relief yang terdapat pada struktur tersembunyi Borobudur ?,B
